,sequence,drug,unobstructed,h_bond_bridging,orthogonal_planes
762,C1=CC=C2OCCOCCOCCOC3=CC=CC=C3OCCOCCOCCOC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
763,COC(=O)C1=CC=C(COCC(C)(C)CN(CC2=CC=C(COC(=O)C3=CC(C)=CC(C)=C3)C=C2)C(=O)C(F)(F)F)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
764,CC1=CC=CC(S(C)=O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
765,CC1=C(C)C(N)=C(C)C(C)=C1N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
766,N=C(N)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
767,CC(C)C1OC(OCC(=O)O)C(C)(C)C(C(C)C)O1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
768,O=C1C=CC(=O)C(Cl)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
769,O=C1C2=C(F)C(F)=C(F)C(F)=C2C(=O)C2=C(F)C(F)=C(F)C(F)=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
770,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
771,COC1=CC(C(=O)O)=CC(OC)=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
772,CC1=C(C)C=C2C(=C1)C1(OP2(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(=O)N(C)C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
773,O=C1CCCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
774,COC1=CC=C(C2=NN(C3=CC=CC=C3)C(C3=NC4=CC=CC=C4S3)C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
775,COC1=CC=C(C2CC(C3=NC4=CC=CC=C4S3)=NN2C2=CC=CC=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
776,CC1=CC(C2=CC=CN=C2)=NC(N)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
777,CC1=CC(C2=CC=NC=C2)=NC(N)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
778,O=C(O)C1=CC=C(I)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
779,COC1=CN=CC(C#CC2=CC(C)=NC(N)=N2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
780,NC1=NC(=O)N(C2CSC(CO)O2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
781,O=C1C=CNC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
782,CC1=CC(=O)C=C(C)O1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
783,CNCC1CN(C2=CC=C(OCC3=CC=CC(Cl)=C3)C=C2)C(=O)O1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
784,CS(=O)(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
785,OC1=CC=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
786,NNC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
787,CS(C)(=O)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
788,COC(=O)C#CC(=O)OC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
789,CC1(C)CC(C)(C2=CC=C(N3C(C4=CC=CC=C4)=NC4=CC=CC=C4C3=O)C=C2)C2=CC=CC=C2O1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
790,CC1CCCCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
791,CN1C=NC2=C1C(=O)NC(=O)N2C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
792,OC1=CC=C2C=CC(O)=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
793,CC1=NC=C([N+](=O)[O-])N1CC(O)CCl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
794,O=C(O)C1=CC=C([N+](=O)[O-])C=C1C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
795,CC1=CC=C(N)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
796,CCCOP1(N)=NP(N)(OCCC)=NP(OCCC)(OCCC)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
797,CCCOP1(N)=NP(N)(OCCC)=NP(OCCC)(OCCC)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
798,O=[N+]([O-])C1=CC=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
799,CC1(C)OC2=CC=C3C(=O)C4=CC=CC=C4C4=CC(C5=CC=CC6=C5C(=O)C5=CC=CC=C5C6=O)=C(C1=O)C2=C34,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
800,O=C(NCCCCCCNC(=O)C1=CC=NC=C1)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
801,FC1=C(F)C(F)=C2C(=C1F)C1=C(F)C(F)=C(F)C(F)=C1C1=C(F)C(F)=C(F)C(F)=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
802,C1=CC=C2C(=C1)C1=CC=CC=C1C1=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
803,O=C(O)C1=CC=CC(C(=O)O)=C1C1=C(C(=O)O)C=CC=C1C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
804,CC1=CC=NC(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
805,CC1=CN=CC(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
806,CC1=CC=CC(C)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
807,CC1=NNC(C)=C1CC1=C(C)NN=C1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
808,C1=CC=C2C(=C1)C(=C1C3=CC=CC=C3C3=CC=CC=C13)C1=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
809,FC1=CC=CC=C1I,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
810,FC1=CC=C(I)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
811,FC1=CC=C(I)C(F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
812,FC1=CC=C(F)C(I)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
813,FC1=CC=C(I)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
814,FC1=CC=C(F)C(I)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
815,FC1=CC(F)=C(F)C(I)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
816,C1=CNN=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,1
817,C[N+](C)(C)CC(=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
818,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
819,OC1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
820,OC1=CC2=CC=CC=C2C2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
821,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
822,OC1=CC=C2C=CC=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
823,CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
824,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
825,NC1=NC(=O)NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
826,OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
827,CCC(C)N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
828,CC1(C)OC(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)O1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
829,CCCC1(O)C(=C2C(=O)C3=CC(C)=CC=C3C2(O)CCC)C(=O)C2=CC(C)=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
830,CCCC1(O)C(=C2C(=O)C3=CC=C(C)C=C3C2(O)CCC)C(=O)C2=CC=C(C)C=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
831,O=C(C1CCCCC1)N1CC(=O)N2CCC3=CC=CC=C3C2C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
832,OC1=CC(O)=CC(C2=C3C=CC=CC3=C(C3=CC(O)=CC(O)=C3)C3=CC=CC=C23)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
833,CC(C)=CCCC(C)CC=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
834,COC1=CC=CC=C1OC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
835,[NH3+]C(C(=O)NC(C(=O)[O-])C1=CC=CC=C1)C1=CC=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
836,NC(=O)C1=CC=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
837,NS(=O)(=O)C1=CC2=C(C=C1Cl)NCNS2(=O)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
838,O=C([O-])C1=[NH+]C=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
839,O=C(O)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
840,CN(C)C1=CC=C(C=CC(=O)C=CC2=CC=CC=C2O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
841,NC1=C(F)C=C(F)C(N)=C1C(F)(F)F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
842,NC1=NC(N)=C(F)C(Cl)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
843,CC1CCC(C(C)C)C(O)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
844,OC1=CC=C(Br)C2=C1C13C4=C(O)C=CC(Br)=C4CC1CCCC3C2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
845,OC1=CC(C(C2=CC=CC=C2)C2=CC=CC=C2)=C(O)C=C1C(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
846,O=CC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
847,CC1=CC=CC=C1C(N)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
848,O=S(CC1=CC=CC=C1)CC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
849,CC1=CC=CC(C(N)=O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
850,NC(=O)C1=CC=CC=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
851,CC1=CC=C(NC2=[NH+]C=CC=C2C(=O)[O-])C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
852,O=C1NC(=O)C(Br)=C1Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
853,O=C1C2=CC(Br)=CN=C2C2=NC=C(Br)C=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
854,C1C2C3C2C2C1C32,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,1
855,O=C1NC(=O)C2C3CC(C4N=NN(C5=CC=CC=C5[N+](=O)[O-])C34)C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
856,O=C1N=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
857,N#CC(C#N)=CC1=CC(C=C(C#N)C#N)=CC(C=C(C#N)C#N)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
858,CC1(C)CC(=NNC2=CC=CC=N2)C(C2C(=NNC3=CC=CC=N3)CC(C)(C)CC2=NNC2=CC=CC=N2)C(=NNC2=CC=CC=N2)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
859,CCCCC1(CCCC)C(=O)NC(=O)NC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
860,NC(=O)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
861,O=C(O)C1=NN(CC2=CC=C(Cl)C=C2Cl)C2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
862,O=C(O)C1=CC=CN=C1NC1=CC=CC(C(F)(F)F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
863,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
864,O=C(O)C1=CC=CC=C1NC1=CC=CC(C(F)(F)F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
865,C1=CC=C(C2=NC(C3=CC=CC=N3)=C(C3=CC=CC=N3)N=C2C2=CC=CC=N2)N=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
866,CC(=O)NC1=NN=C(S(N)(=O)=O)S1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
867,OC1=CC=C(Cl)C=C1SC1=CC(Cl)=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
868,CC1(C)CC2(CC(C)(C)C3=CC=C(O)C=C3O2)OC2=CC(O)=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
869,OC1CCN(CC2=CC=CC=C2)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
870,CC1=CC=CC2=C1SC1=C(C)C=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
871,N#CC1=C2C(=CC([N+](=O)[O-])=C1)C(=O)C1=CC([N+](=O)[O-])=CC(C#N)=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
872,CC1=CN=C(N2CCC(C3CCN(C4=CC(C)=NC(C#N)=N4)CC3)CC2)C=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
873,CC1=CC(C)=C(C2(C)CC(C3=CSC(=NN=CC4=CC(Br)=CC=C4O)N3)C2)C(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
874,CC1=CC(C)=C(C2(C)CC(C3=CSC(NN=CC4=CC(Br)=CC=C4O)=N3)C2)C(C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
875,C1=CC2C=CC1C2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,1
876,OC1=CC=C(C(C2=CC=CC=C2O)C2=CC=CC=C2O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
877,OC1(C2=CC=C(C3=CC=C(C4(O)C5=CC=CC=C5C5=CC=CC=C54)C=C3)C=C2)C2=CC=CC=C2C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
878,CCN,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
879,O=C1CCC2N(CC3=CC=CC=C3)CCC12C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
880,CC(C=CN1CCCCCC1=O)N1CCCCCC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
881,NC1=CC=CC(N)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
882,O=C(C=CC1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
883,O=C(C=CC1=CC=CC=C1)C=CC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
884,OC1=CC(C2=CC=CC=C2)=C(O)C=C1C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
885,FC1=C(F)C(F)=C(SSC2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
886,O=C(O)CC1=CC=CC(F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
887,O=C(O)CC1=CC=C(F)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
888,CCC1=NNC(C2=CC=CC=C2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
889,CCC1=CC(C2=CC=CC=C2)=NN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
890,CCCCCCCCOC1=CC=C(C=CC2=CC=NC=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
891,CC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
892,COC(=O)C1=C2C=CC=CC2=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
893,O=C(C1=CC=CC=C1)C1C(C2=CC=CC=C2)C(C(=O)C2=CC=CC=C2)C1C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
894,O=C=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
895,CN1CC2=CC=C(C=C2)CN(C)CC2=CC=C(C=C2)CN(C)CC2=CC=C(C=C2)CN(C)CC2=CC=C(C=C2)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
896,CC(C)=NOC(=O)NC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
897,CC(C)N(C(=O)NC1=CC=CC=C1)C(C)C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
898,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)C1(C(O)C(C)C)C2O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
899,COC(C)(C)C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
900,OC1=CC=C(C=CC2=CC(O)=CC(O)=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
901,CC1=C(C)[N+]([O-])=C(C)C(C)=[N+]1[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
902,O=C(CC1CCCN1C(=O)CC1CCCN1C(=O)CC1CCCN1)OCC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
903,O=C(O)C1=C(O)C=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
904,C1=CN=C2C(=C1)C(=C1C3=CC=CN=C3C3=NC=CC=C13)C1=CC=CN=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
905,COC1=CC=CC=C1C=CC(=O)NNC1=CC=NC2=CC(Cl)=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
906,COC1=CC=CC=C1C=CC(=O)NN=C1C=CNC2=CC(Cl)=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
907,CCOC1=CC=CC=C1C(N)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
908,COC1=CC(C=CC(=O)O)=CC(OC)=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
909,O=C(O)C1=CC=C([N+](=O)[O-])C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
910,NC(=O)CC(O)C(N)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
911,NC(=O)C(O)C(O)C(N)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
912,CNC(=O)CC(O)C(=O)NC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
913,CNC(=O)C(O)C(O)C(=O)NC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
914,CCCCNC(=O)C(O)C(O)C(=O)NCCCC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
915,CCCCNC(=O)CC(O)C(=O)NCCCC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
916,NC1=NC(=O)N(C2CC(O)C(CO)O2)C=C1Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
917,NC1=NC(O)=C2N=CN(C3CC(O)C(CO)O3)C2=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
918,NC(=O)CCN1C=NC2=C1N=C(N)NC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
919,CC1=CC([N+](=O)[O-])=CC=C1N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
920,NC1=CC=CN=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
921,NC(C1=CC=CC=C1)C(N)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
922,O=C(NCC1=CC=CC=N1)C(=O)NCC1=CC=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
923,COC1=CC(O)=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
924,COC1=CC(=O)C=CC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
925,NC1CCCCC1N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
926,O=C(O)C1=CC=C2C=C(C(=O)O)C=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
927,O=C(O)C1=CC=C(C(=O)O)C2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
928,NC1CCCCNC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
929,O=C(O)C1=CC=C2C=CC=CC2=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
930,CCCCCCCC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
931,O=P([O-])(C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)OC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
932,CC(=O)N1N=C(C2=CC=CC=C2)CC1C1=CC=C2C=CC3=CC=CC4=CC=C1C2=C34,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
933,NC1=NC(=O)NC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
934,CC(C(=O)[O-])[N+]12CCC(CC1)CC2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
935,O=C(NC1=C(F)C(F)=C(Br)C(F)=C1F)C1=C(F)C(F)=C(I)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
936,CCOC(=O)CNC(C)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
937,O=C(NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
938,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
939,CC1=CC=NC=C1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
940,CC1=CC=CN=C1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
941,CSC1=C(SC)C=C(SC)C(SC)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
942,CN1CCN(C)C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
943,O=C(O)C12CC3CC(C1)CC(C(=O)O)(C3)C2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
944,NC(=O)NC1=CC=CC(Cl)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
945,O=C1C=C(C2=CC=CC=N2)NC(C2=CC=CC=N2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
946,OC1=CC(C2=CC=CC=N2)=NC(C2=CC=CC=N2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
947,CC(C)(C)C1=CC(O)=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
948,CCN1C=C(C(=O)O)C(=O)C2=CC=C(C)N=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
949,CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
950,C1=CC=C2NC=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
951,OC1=CC=CC=C1C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
952,COC=C(C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
953,CCOC(=O)C(=O)OCC,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
954,FC1=C(F)C(F)=C(F)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
955,CN(C)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
956,CN(C)C1=CC=C(N)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
957,NC1=CC=CC(C(=O)O)=C1N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
958,NC1=C(C(=O)[O-])C=CC=C1[NH3+],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
959,CC1=CC=CN=C1N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
960,CC(=NO)C(=NO)N1C=CC=C(C)C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
961,FC1=CC=C(F)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
962,C1=CC=C2C3=CC=C(C=C3)C3=CC=CC=C3C3=CC=C(C=C3)C3=CC=CC=C3C3=CC=C(C=C3)C3=CC=CC=C3C3=CC=C(C=C3)C2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
